YEAR,Actual,Predicted,Upriver,Upriver_for
1980,20968,NA,57692,
1981,24753,NA,67401,
1982,27601,NA,77246,
1983,20936,NA,62912,
1984,14119,NA,52357,
1985,14865,NA,92284,
1986,20085,NA,128314,
1987,15870,NA,110772,
1988,17368,NA,106003,
1989,14707,NA,90031,
1990,17582,NA,105715,
1991,13106,NA,64479,
1992,20657,NA,95691,
1993,17911,NA,119963,
1994,3721,NA,24095,
1995,3395,NA,12792,
1996,9062,NA,55552,
1997,9278,NA,124321,
1998,13733,NA,44308,
1999,5525,NA,43067,
2000,13921,NA,186715,
2001,63154,NA,440336,
2002,52209,NA,335214,
2003,50645,NA,242605,
2004,33102,46200,221675,
2005,15152,23400,106911,254100
2006,16820,14600,132583,88400
2007,10353,13100,86247,78500
2008,23939,21100,178629,269300
2009,20246,29700,169296,298900
2010,34793,73400,315345,470000
2011,30526,24700,221158,198400
2012,33770,39000,203090,314200
2013,21981,18900,123136,141400
2014,46050,42200,242577,227000
2015,30000,45300,289000,232500
2016,24800,23700,187800,188800
2017,6261,15100,115821,160400
2018,11339,18500,115081,166700
2019,7480,8200,73101,99300
2020,14574,9600,81300,81700
2021,9480,11100,91756,75200
2022,23331,13200,185209,122900
2023,10826,13200,141179,198600
2024,10514,9200,116332,121000
2025,NA,9800,NA,122500
